id,time,pop,popPred,indivPredMean,indivPredMode
17,78.0399,0.561352,0.561352,0.661322,
17,78.0993,0.56397,0.56397,0.664454,
17,78.476,0.580466,0.580466,0.683956,
17,78.7072,0.590508,0.590508,0.695622,
17,79.22,0.612496,0.612496,0.720598,
17,79.3746,0.619042,0.619042,0.727878,
17,79.9711,0.643871,0.643871,0.754824,
17,80.042,0.646776,0.646776,0.757906,
17,80.7094,0.673556,0.673556,0.785596,
17,80.7293,0.674337,0.674337,0.786384,
17,81.3768,0.69925,0.69925,0.810909,
17,81.4947,0.703667,0.703667,0.815133,
17,82.0442,0.723751,0.723751,0.833866,
17,82.2673,0.731661,0.731661,0.841026,
17,82.7116,0.746978,0.746978,0.854535,
17,83.0473,0.758162,0.758162,0.8641,
17,83.379,0.768876,0.768876,0.873025,
17,83.8346,0.783046,0.783046,0.884464,
17,84.0464,0.789413,0.789413,0.889468,
17,84.6295,0.806235,0.806235,0.902278,
17,84.7138,0.80858,0.80858,0.904016,
17,85.3811,0.826385,0.826385,0.916828,
17,85.4318,0.827683,0.827683,0.917735,
17,85.9373,0.840202,0.840202,0.926296,
17,86.0485,0.842857,0.842857,0.928066,
17,86.2418,0.847383,0.847383,0.93105,
17,86.7159,0.858034,0.858034,0.937889,
17,87.0595,0.865358,0.865358,0.942443,
17,87.3833,0.871968,0.871968,0.946448,
17,87.8849,0.881656,0.881656,0.952134,
17,88.0507,0.884718,0.884718,0.953885,
17,88.7181,0.896349,0.896349,0.960333,
18,54.2877,0.0179279,0.0179279,0.185764,
18,54.7428,0.0194195,0.0194195,0.198229,
18,54.8502,0.0197888,0.0197888,0.201259,
18,55.2018,0.0210467,0.0210467,0.211424,
18,55.4128,0.0218386,0.0218386,0.217701,
18,55.6646,0.0228224,0.0228224,0.225371,
18,55.9753,0.0240955,0.0240955,0.235091,
18,56.1314,0.0247609,0.0247609,0.240082,
18,56.5378,0.0265793,0.0265793,0.253419,
18,56.602,0.0268778,0.0268778,0.255568,
18,56.6316,0.0270168,0.0270168,0.256564,
18,57.0765,0.0291903,0.0291903,0.271834,
18,57.1004,0.0293114,0.0293114,0.272668,
18,57.5551,0.0317171,0.0317171,0.288877,
18,57.6629,0.032315,0.032315,0.292805,
18,58.0377,0.0344788,0.0344788,0.306691,
18,58.2255,0.0356152,0.0356152,0.313787,
18,58.5243,0.0374977,0.0374977,0.325257,
18,58.788,0.0392387,0.0392387,0.33556,
18,59.015,0.0407984,0.0407984,0.344551,
18,59.3506,0.0432144,0.0432144,0.358055,
18,59.3682,0.043345,0.043345,0.358771,
18,59.5098,0.0444075,0.0444075,0.364541,
18,59.9131,0.0475729,0.0475729,0.381193,
18,60.0087,0.0483539,0.0483539,0.385182,
18,60.4757,0.052347,0.052347,0.404883,
18,60.5118,0.052669,0.052669,0.406423,
18,61.0192,0.0573869,0.0573869,0.428202,
18,61.0382,0.0575712,0.0575712,0.429025,
18,61.5308,0.062544,0.062544,0.450449,
18,61.6008,0.0632819,0.0632819,0.453509,
18,62.0467,0.0681799,0.0681799,0.473085,
18,62.1633,0.0695173,0.0695173,0.47822,
18,62.5669,0.0743366,0.0743366,0.496023,
18,62.7258,0.0763171,0.0763171,0.503038,
18,63.0915,0.081059,0.081059,0.51917,
18,63.2884,0.0837222,0.0837222,0.527841,
18,63.6205,0.0883947,0.0883947,0.542427,
18,63.8509,0.0917744,0.0917744,0.552508,
18,64.1539,0.0963939,0.0963939,0.565694,
18,64.4135,0.100516,0.100516,0.576919,
18,64.6918,0.105109,0.105109,0.588866,
18,64.976,0.10999,0.10999,0.60096,
18,65.2342,0.114593,0.114593,0.611839,
18,65.5386,0.120237,0.120237,0.624524,
18,65.7811,0.124904,0.124904,0.634512,
18,66.1011,0.131297,0.131297,0.647512,
18,66.3327,0.136095,0.136095,0.656787,
18,66.6637,0.14321,0.14321,0.669838,
18,66.8888,0.148225,0.148225,0.67857,
18,67.2262,0.156009,0.156009,0.691423,
18,67.4496,0.161346,0.161346,0.699776,
18,67.7888,0.169726,0.169726,0.712203,
18,68.0152,0.175512,0.175512,0.720327,
18,68.3513,0.184386,0.184386,0.732126,
18,68.5854,0.190769,0.190769,0.740155,
18,68.9138,0.200006,0.200006,0.751152,
18,69.1605,0.20716,0.20716,0.759202,
18,69.4764,0.216598,0.216598,0.769252,
18,69.7403,0.224719,0.224719,0.77742,
18,69.8355,0.2277,0.2277,0.780314,
18,70.0389,0.234164,0.234164,0.78641,
18,70.3251,0.24347,0.24347,0.794773,
18,70.6015,0.252695,0.252695,0.80262,
18,70.9147,0.263424,0.263424,0.811235,
18,71.164,0.272171,0.272171,0.817884,
18,71.5093,0.284579,0.284579,0.826788,
18,71.7266,0.292561,0.292561,0.832215,
18,72.1088,0.306915,0.306915,0.841429,
18,72.2891,0.31382,0.31382,0.845631,
18,72.7134,0.330394,0.330394,0.855159,
18,72.8517,0.335889,0.335889,0.858157,
18,73.3231,0.354957,0.354957,0.867989,
